size,triton,pytorch
4096.000000,5.120000,5.120000
8192.000000,10.240000,10.240000
16384.000000,20.479999,20.479999
32768.000000,40.288525,40.959998
65536.000000,79.277419,79.277419
131072.000000,142.469562,144.564706
262144.000000,262.143998,262.143998
524288.000000,462.607053,462.607053
1048576.000000,702.171410,695.957529
2097152.000000,925.214105,914.455845
4194304.000000,1103.764192,1088.487240
8388608.000000,1212.226604,1198.386831
16777216.000000,1273.574116,1255.779650
33554432.000000,1299.216466,1282.012491
67108864.000000,1311.063605,1296.040421
134217728.000000,1316.550584,1303.001982
